SalesID,Product,Region,Sales,Year
1073,Laptop,South,98000,2024
1074,Mobile,North,73000,2024
1075,Tablet,West,49000,2024
1076,Monitor,East,46000,2024
1077,Keyboard,South,12500,2024
1078,Mouse,North,6800,2024
1079,Printer,West,39000,2024
1080,Headphones,East,10500,2024
1081,Laptop,East,115000,2025
1082,Mobile,West,76000,2025
1083,Tablet,North,52000,2025
1084,Monitor,South,48000,2025
1085,Keyboard,East,13000,2025
1086,Mouse,West,7000,2025
1087,Printer,North,42000,2025
1088,Headphones,South,11000,2025
1089,Laptop,West,120000,2025
1090,Mobile,East,80000,2025
1091,Tablet,South,55000,2025
1092,Monitor,North,50000,2025
1093,Keyboard,West,13500,2025
1094,Mouse,East,7200,2025
1095,Printer,South,45000,2025
1096,Headphones,North,11500,2025
1097,Laptop,North,78000,2020
1098,Mobile,East,47000,2020
1099,Tablet,South,33000,2020
1100,Monitor,West,29000,2020
1101,Keyboard,North,8200,2020
1102,Mouse,South,4300,2020
1103,Printer,East,21000,2020
1104,Headphones,West,6200,2020
1105,Laptop,South,85000,2021
1106,Mobile,North,51000,2021
1107,Tablet,West,35000,2021
1108,Monitor,East,30000,2021
1109,Keyboard,South,9200,2021
1110,Mouse,North,5100,2021
1111,Printer,West,26000,2021
1112,Headphones,East,7000,2021
1113,Laptop,East,92000,2022
1114,Mobile,West,59000,2022
1115,Tablet,North,38000,2022
1116,Monitor,South,34000,2022
1117,Keyboard,East,10000,2022
1118,Mouse,West,5500,2022
1119,Printer,North,30000,2022
1120,Headphones,South,7800,2022
1121,Laptop,West,97000,2023
1122,Mobile,East,64000,2023
1123,Tablet,South,42000,2023
1124,Monitor,North,40000,2023
1125,Keyboard,West,10800,2023
1126,Mouse,East,5900,2023
1127,Printer,South,34000,2023
1128,Headphones,North,8800,2023
1129,Laptop,North,108000,2024
1130,Mobile,South,69000,2024
1131,Tablet,East,46000,2024
1132,Monitor,West,43000,2024
1133,Keyboard,North,11800,2024
1134,Mouse,South,6300,2024
1135,Printer,East,36000,2024
1136,Headphones,West,9800,2024
1137,Laptop,South,102000,2025
1138,Mobile,North,75000,2025
1139,Tablet,West,51000,2025
1140,Monitor,East,49000,2025
1141,Keyboard,South,12800,2025
1142,Mouse,North,6900,2025
1143,Printer,West,44000,2025
1144,Headphones,East,10800,2025
1145,Laptop,East,89000,2020
1146,Mobile,West,49000,2020
1147,Tablet,North,31000,2020
1148,Monitor,South,27000,2020
1149,Keyboard,East,8800,2020
1150,Mouse,West,4600,2020
1151,Printer,North,23000,2020
1152,Headphones,South,6700,2020
1153,Laptop,West,94000,2021
1154,Mobile,East,56000,2021
1155,Tablet,South,37000,2021
1156,Monitor,North,32000,2021
1157,Keyboard,West,9600,2021
1158,Mouse,East,5300,2021
1159,Printer,South,28000,2021
1160,Headphones,North,7600,2021
1161,Laptop,North,100000,2022
1162,Mobile,South,62000,2022
1163,Tablet,East,40000,2022
1164,Monitor,West,36000,2022
1165,Keyboard,North,10500,2022
1166,Mouse,South,5700,2022
1167,Printer,East,32000,2022
1168,Headphones,West,8200,2022
1169,Laptop,South,99000,2023
1170,Mobile,North,66000,2023
1171,Tablet,West,44000,2023
1172,Monitor,East,41000,2023
1173,Keyboard,South,11200,2023
1174,Mouse,North,6100,2023
1175,Printer,West,37000,2023
1176,Headphones,East,9200,2023
1177,Laptop,East,112000,2024
1178,Mobile,West,71000,2024
1179,Tablet,North,48000,2024
1180,Monitor,South,45000,2024
1181,Keyboard,East,12200,2024
1182,Mouse,West,6700,2024
1183,Printer,North,40000,2024
1184,Headphones,South,10200,2024
1185,Laptop,West,118000,2025
1186,Mobile,East,79000,2025
1187,Tablet,South,57000,2025
1188,Monitor,North,52000,2025
1189,Keyboard,West,14000,2025
1190,Mouse,East,7400,2025
1191,Printer,South,46000,2025
1192,Headphones,North,12000,2025
1193,Laptop,North,83000,2020
1194,Mobile,South,46000,2020
1195,Tablet,East,32000,2020
1196,Monitor,West,30000,2020
1197,Keyboard,North,9000,2020
1198,Mouse,South,4800,2020
1199,Printer,East,24000,2020
1200,Headphones,West,6800,2020
